"","V1"
"base 2:sulfonyl-fluoride4",0.106661137672409
"base 3:sulfonyl-fluoride1",-0.390941428034644
"base 3:sulfonyl-fluoride2",-0.374027303848582
"base 3:sulfonyl-fluoride3",0.242148108773486
"base 3:sulfonyl-fluoride4",1.69797460064671e-05
"alcohol 1:base 1:sulfonyl-fluoride1",0
"alcohol 1:base 1:sulfonyl-fluoride2",0
"alcohol 1:base 1:sulfonyl-fluoride3",0
"alcohol 1:base 1:sulfonyl-fluoride4",0
"alcohol 1:base 2:sulfonyl-fluoride1",0
"alcohol 1:base 2:sulfonyl-fluoride2",0
"alcohol 1:base 2:sulfonyl-fluoride3",0
"alcohol 1:base 2:sulfonyl-fluoride4",0
"alcohol 1:base 3:sulfonyl-fluoride1",0
"alcohol 1:base 3:sulfonyl-fluoride2",0
"alcohol 1:base 3:sulfonyl-fluoride3",0
"alcohol 1:base 3:sulfonyl-fluoride4",0
"alcohol 2:base 1:sulfonyl-fluoride1",0
"alcohol 2:base 1:sulfonyl-fluoride2",0
"alcohol 2:base 1:sulfonyl-fluoride3",0
"alcohol 2:base 1:sulfonyl-fluoride4",0
"alcohol 2:base 2:sulfonyl-fluoride1",0
"alcohol 2:base 2:sulfonyl-fluoride2",0
"alcohol 2:base 2:sulfonyl-fluoride3",0
"alcohol 2:base 2:sulfonyl-fluoride4",0
"alcohol 2:base 3:sulfonyl-fluoride1",0
"alcohol 2:base 3:sulfonyl-fluoride2",0
"alcohol 2:base 3:sulfonyl-fluoride3",0
"alcohol 2:base 3:sulfonyl-fluoride4",0
"alcohol 3:base 1:sulfonyl-fluoride1",0
"alcohol 3:base 1:sulfonyl-fluoride2",0
"alcohol 3:base 1:sulfonyl-fluoride3",0
"alcohol 3:base 1:sulfonyl-fluoride4",0
"alcohol 3:base 2:sulfonyl-fluoride1",0
"alcohol 3:base 2:sulfonyl-fluoride2",0
"alcohol 3:base 2:sulfonyl-fluoride3",0
"alcohol 3:base 2:sulfonyl-fluoride4",0
"alcohol 3:base 3:sulfonyl-fluoride1",0
"alcohol 3:base 3:sulfonyl-fluoride2",0
"alcohol 3:base 3:sulfonyl-fluoride3",0
"alcohol 3:base 3:sulfonyl-fluoride4",0
"alcohol 4:base 1:sulfonyl-fluoride1",0
"alcohol 4:base 1:sulfonyl-fluoride2",0
"alcohol 4:base 1:sulfonyl-fluoride3",0
"alcohol 4:base 1:sulfonyl-fluoride4",0
"alcohol 4:base 2:sulfonyl-fluoride1",0
"alcohol 4:base 2:sulfonyl-fluoride2",0
"alcohol 4:base 2:sulfonyl-fluoride3",0.76935479406854
"alcohol 4:base 2:sulfonyl-fluoride4",0
"alcohol 4:base 3:sulfonyl-fluoride1",0
"alcohol 4:base 3:sulfonyl-fluoride2",0
"alcohol 4:base 3:sulfonyl-fluoride3",0
"alcohol 4:base 3:sulfonyl-fluoride4",0
"alcohol 5:base 1:sulfonyl-fluoride1",0
"alcohol 5:base 1:sulfonyl-fluoride2",0
"alcohol 5:base 1:sulfonyl-fluoride3",0
"alcohol 5:base 1:sulfonyl-fluoride4",0
"alcohol 5:base 2:sulfonyl-fluoride1",0
"alcohol 5:base 2:sulfonyl-fluoride2",0
"alcohol 5:base 2:sulfonyl-fluoride3",0
"alcohol 5:base 2:sulfonyl-fluoride4",0
"alcohol 5:base 3:sulfonyl-fluoride1",0
"alcohol 5:base 3:sulfonyl-fluoride2",0
"alcohol 5:base 3:sulfonyl-fluoride3",1.04045428665635
"alcohol 5:base 3:sulfonyl-fluoride4",0
"alcohol 6:base 1:sulfonyl-fluoride1",0
"alcohol 6:base 1:sulfonyl-fluoride2",0
"alcohol 6:base 1:sulfonyl-fluoride3",0
"alcohol 6:base 1:sulfonyl-fluoride4",0
"alcohol 6:base 2:sulfonyl-fluoride1",0
"alcohol 6:base 2:sulfonyl-fluoride2",0
"alcohol 6:base 2:sulfonyl-fluoride3",0
"alcohol 6:base 2:sulfonyl-fluoride4",0
"alcohol 6:base 3:sulfonyl-fluoride1",0
"alcohol 6:base 3:sulfonyl-fluoride2",0
"alcohol 6:base 3:sulfonyl-fluoride3",0
"alcohol 6:base 3:sulfonyl-fluoride4",0
"alcohol 7:base 1:sulfonyl-fluoride1",0
"alcohol 7:base 1:sulfonyl-fluoride2",0
"alcohol 7:base 1:sulfonyl-fluoride3",0
"alcohol 7:base 1:sulfonyl-fluoride4",0
"alcohol 7:base 2:sulfonyl-fluoride1",0
"alcohol 7:base 2:sulfonyl-fluoride2",0
"alcohol 7:base 2:sulfonyl-fluoride3",0
"alcohol 7:base 2:sulfonyl-fluoride4",0
"alcohol 7:base 3:sulfonyl-fluoride1",0
"alcohol 7:base 3:sulfonyl-fluoride2",0
"alcohol 7:base 3:sulfonyl-fluoride3",0
"alcohol 7:base 3:sulfonyl-fluoride4",0
